name|type|age|origin|isPubliclyAvailable|dateOfArrival|timeOfArrival
Leo|Lion|8|Americas|true|2023-04-15|10:13:25
Tiger|Tiger|6|Asia|true|2023-05-10|11:45:30
Benny|Bear|10|Europe|false|2022-09-12|09:25:45
Simba|Lion|7|Africa|true|2023-06-20|12:30:15
Panda|Bear|5|Asia|true|2023-07-18|14:10:50
Juno|Jaguar|12|South America|false|2023-08-22|15:55:10
Ollie|Otter|4|North America|true|2023-09-10|16:05:35
Toby|Tortoise|100|Galapagos|false|2023-04-25|08:50:20
Coco|Monkey|3|Africa|true|2023-03-30|10:20:40
Ella|Elephant|25|Asia|false|2023-02-15|13:45:10
Rex|Wolf|9|Europe|true|2023-01-10|14:35:25
Keneth|Kangaroo|5|Australia|true|2023-03-12|17:50:00
Abby|Axolotl|3|Ocean|true|2023-08-05|09:10:10
Lennia|Labrador|10|Americas|true|2024-10-15|09:21:36
